*	Measurement	data	measured	by	REW	V5.20	Beta	4						
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	R,	volume:	no	control	
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-5	dBFS	With	no	timing	reference
*	Dated:	Jan	28,	2019	11.30.49	AM								
*	REW	Settings:												
*	C-weighting	compensation:	Off											
*	Target	level:	75	dB										
*	Note:	";"												
*	Measurement:	Bose	QC	35	II	R								
*	Smoothing:	Jan/48	octave											
*	Frequency	Step:	Jan/96	octave										
*	Start	Frequency:	20,1	Hz										
*														
*	Freq(Hz)	SPL(dB)	Phase(degrees)											
1.336,67	102,667	-16,153												
1.346,36	102,452	-16,393												
1.356,11	102,201	-16,374												
1.365,94	101,953	-15,986												
1.375,84	101,747	-15,445												
1.385,81	101,573	-15,074												
1.395,85	101,38	-14,961												
1.405,97	101,125	-14,882												
1.416,15	100,799	-14,385												
1.426,42	100,463	-13,107												
1.436,75	100,212	-11,229												
1.447,16	100,08	-9,35												
1.457,65	100,018	-7,872												
1.468,21	99,968	-6,797												
1.478,85	99,904	-5,956												
1.489,57	99,821	-5,208												
1.500,36	99,726	-4,487												
1.511,23	99,621	-3,768												
1.522,19	99,514	-3,046												
1.533,22	99,406	-2,334												
1.544,33	99,294	-1,663												
1.555,52	99,17	-1,03												
1.566,79	99,031	-0,392												
1.578,14	98,875	0,274												
1.589,58	98,701	1,011												
1.601,10	98,51	1,905												
1.612,70	98,317	3,002												
1.624,39	98,132	4,27												
1.636,16	97,959	5,645												
1.648,01	97,797	7,088												
1.659,96	97,644	8,587												
1.671,98	97,498	10,149												
1.684,10	97,359	11,787												
1.696,30	97,227	13,497												
1.708,60	97,102	15,291												
1.720,98	96,985	17,183												
1.733,45	96,881	19,169												
1.746,01	96,791	21,237												
1.758,66	96,716	23,371												
1.771,41	96,655	25,576												
1.784,24	96,617	27,856												
1.797,17	96,604	30,171												
1.810,19	96,613	32,518												
1.823,31	96,645	34,856												
1.836,52	96,695	37,161												
1.849,83	96,765	39,457												
1.863,24	96,858	41,726												
1.876,74	96,975	43,932												
1.890,34	97,109	46,046												
1.904,04	97,252	48,066												
1.917,83	97,402	49,98												
1.931,73	97,55	51,811												
1.945,73	97,69	53,715												
1.959,83	97,853	55,822												
1.974,03	98,071	58,003												
1.988,33	98,343	59,991												
2.002,74	98,641	61,657												
2.017,26	98,944	63,039												
2.031,87	99,247	64,166												
2.046,60	99,541	65,047												
2.061,43	99,815	65,72												
2.076,37	100,057	66,263												
2.091,41	100,266	66,877												
2.106,57	100,482	67,693												
2.121,83	100,735	68,497												
2.137,21	101,002	69,046												
2.152,70	101,255	69,38												
2.168,29	101,492	69,623												
2.184,01	101,717	69,794												
2.199,83	101,93	69,9												
2.215,77	102,13	69,941												
2.231,83	102,315	69,927												
2.248,00	102,483	69,884												
2.264,29	102,638	69,843												
2.280,70	102,781	69,826												
2.297,23	102,912	69,843												
2.313,87	103,033	69,894												
2.330,64	103,146	69,981												
2.347,53	103,253	70,115												
2.364,54	103,355	70,301												
2.381,68	103,453	70,557												
2.398,94	103,548	70,903												
2.416,32	103,647	71,342												
2.433,83	103,755	71,838												
2.451,46	103,873	72,365												
2.469,23	103,999	72,922												
2.487,12	104,138	73,495												
2.505,15	104,289	74,061												
2.523,30	104,453	74,598												
2.541,58	104,63	75,086												
2.560,00	104,816	75,501												
2.578,55	105,005	75,815												
2.597,24	105,193	76,044												
2.616,06	105,376	76,237												
2.635,01	105,56	76,422												
2.654,11	105,749	76,58												
2.673,34	105,946	76,678												
2.692,71	106,15	76,665												
2.712,23	106,351	76,489												
2.731,88	106,541	76,165												
2.751,68	106,712	75,748												
2.771,62	106,863	75,274												
2.791,70	106,992	74,764												
2.811,93	107,1	74,24												
2.832,31	107,186	73,726												
2.852,83	107,25	73,255												
2.873,50	107,292	72,864												
2.894,33	107,314	72,59												
2.915,30	107,319	72,468												
2.936,42	107,313	72,509												
2.957,70	107,301	72,71												
2.979,14	107,282	73,073												
3.000,72	107,259	73,634												
3.022,47	107,238	74,446												
3.044,37	107,234	75,525												
3.066,43	107,261	76,814												
3.088,65	107,32	78,201												
3.111,03	107,4	79,616												
3.133,58	107,487	81,096												
3.156,28	107,578	82,759												
3.179,16	107,688	84,734												
3.202,19	107,842	87,074												
3.225,40	108,073	89,749												
3.248,77	108,418	92,574												
3.272,31	108,884	95,164												
3.296,03	109,424	97,196												
3.319,91	109,987	98,718												
3.343,97	110,561	99,953												
3.368,20	111,165	101,012												
3.392,61	111,815	101,861												
3.417,19	112,518	102,356												
3.441,95	113,267	102,319												
3.466,89	114,037	101,624												
3.492,02	114,798	100,251												
3.517,32	115,525	98,254												
3.542,81	116,205	95,704												
3.568,48	116,824	92,66												
3.594,34	117,366	89,209												
3.620,39	117,815	85,543												
3.646,62	118,191	81,973												
3.673,05	118,552	78,532												
3.699,66	118,899	74,796												
3.726,47	119,17	70,7												
3.753,48	119,345	66,528												
3.780,68	119,42	62,468												
3.808,07	119,396	58,8												
3.835,67	119,308	55,85												
3.863,46	119,224	53,692												
3.891,46	119,196	52,111												
3.919,66	119,242	50,779												
3.948,06	119,353	49,429												
3.976,67	119,506	47,927												
4.005,49	119,684	46,238												
4.034,51	119,878	44,366												
4.063,75	120,083	42,321												
4.093,19	120,294	40,099												
4.122,86	120,499	37,681												
4.152,73	120,69	35,069												
4.182,82	120,856	32,291												
4.213,13	120,995	29,385												
4.243,66	121,108	26,391												
4.274,42	121,211	23,294												
4.305,39	121,314	19,998												
4.336,59	121,409	16,432												
4.368,01	121,487	12,643												
4.399,67	121,544	8,688												
4.431,55	121,578	4,563												
4.463,66	121,589	0,258												
4.496,01	121,573	-4,222												
4.528,59	121,521	-8,827												
4.561,40	121,428	-13,475												
4.594,46	121,286	-18,173												
4.627,75	121,073	-22,883												
4.661,28	120,773	-27,385												
4.695,06	120,393	-31,444												
4.729,08	119,952	-35,065												
4.763,35	119,475	-38,439												
4.797,87	118,969	-41,623												
4.832,64	118,433	-44,512												
4.867,66	117,88	-47,078												
4.902,93	117,32	-49,362												
4.938,46	116,76	-51,396												
4.974,24	116,202	-53,213												
5.010,29	115,644	-54,851												
5.046,60	115,079	-56,342												
5.083,17	114,502	-57,7												
5.120,00	113,912	-58,895												
5.157,10	113,306	-59,894												
5.194,47	112,686	-60,67												
5.232,11	112,056	-61,23												
5.270,03	111,414	-61,647												
5.308,22	110,739	-61,974												
5.346,68	109,985	-62,116												
5.385,43	109,087	-61,567												
5.424,45	108,013	-59,046												
5.463,76	106,94	-53,002												
5.503,35	106,409	-44,052												
5.543,23	106,72	-36,086												
5.583,40	107,367	-32,101												
5.623,86	107,843	-31,389												
5.664,61	108,04	-31,709												
5.705,66	108,081	-31,628												
5.747,01	108,111	-30,966												
5.788,65	108,199	-30,09												
5.830,60	108,361	-29,384												
5.872,85	108,585	-29,16												
5.915,41	108,841	-29,658												
5.958,27	109,085	-31,002												
6.001,45	109,271	-33,174												
6.044,94	109,36	-36,029												
6.088,74	109,32	-39,324												
6.132,86	109,132	-42,762												
6.177,30	108,797	-46,021												
6.222,07	108,327	-48,805												
6.267,15	107,746	-50,863												
6.312,57	107,094	-52,011												
6.358,31	106,419	-52,157												
6.404,39	105,77	-51,357												
6.450,80	105,188	-49,84												
6.497,54	104,688	-47,854												
6.544,63	104,275	-45,555												
6.592,05	103,955	-43,008												
6.639,82	103,738	-40,346												
6.687,93	103,628	-37,801												
6.736,40	103,605	-35,565												
6.785,21	103,645	-33,707												
6.834,38	103,741	-32,247												
6.883,91	103,884	-31,328												
6.933,79	104,05	-31,121												
6.984,03	104,199	-31,652												
7.034,64	104,305	-32,837												
7.085,62	104,341	-34,62												
7.136,96	104,276	-36,944												
7.188,68	104,075	-39,636												
7.240,77	103,717	-42,396												
7.293,24	103,2	-44,893												
7.346,09	102,527	-46,805												
7.399,33	101,693	-47,747												
7.452,94	100,709	-47,172												
7.506,95	99,638	-44,483												
7.561,35	98,613	-39,38												
7.616,14	97,822	-32,141												
7.671,33	97,44	-23,577												
7.726,92	97,557	-14,858												
7.782,92	98,121	-7,304												
7.839,31	98,949	-1,886												
7.896,12	99,852	1,169												
7.953,34	100,717	2,165												
8.010,97	101,495	1,482												
8.069,02	102,152	-0,645												
8.127,49	102,638	-4,042												
8.186,39	102,885	-8,364												
8.245,71	102,848	-12,911												
8.305,46	102,536	-16,77												
8.365,65	102,022	-19,223												
8.426,27	101,414	-19,924												
8.487,33	100,843	-18,834												
8.548,83	100,452	-16,433												
8.610,78	100,312	-13,73												
8.673,18	100,37	-11,629												
8.736,03	100,51	-10,507												
8.799,33	100,638	-10,251												
8.863,10	100,716	-10,503												
8.927,32	100,75	-10,97												
8.992,01	100,753	-11,584												
9.057,17	100,717	-12,406												
9.122,80	100,623	-13,401												
9.188,91	100,457	-14,389												
9.255,50	100,222	-15,124												
9.322,57	99,953	-15,436												
9.390,12	99,689	-15,377												
9.458,17	99,443	-15,156												
9.526,70	99,205	-14,945												
9.595,74	98,946	-14,716												
9.665,27	98,649	-14,297												
9.735,31	98,329	-13,489												
9.805,86	98,022	-12,243												
9.876,92	97,753	-10,693												
9.948,49	97,514	-8,966												
10.020,58	97,294	-7,022												
10.093,19	97,105	-4,72												
10.166,33	96,988	-2,054												
10.240,00	96,989	0,718												
10.314,20	97,115	3,155												
10.388,94	97,314	4,862												
10.464,23	97,506	5,799												
10.540,06	97,651	6,265												
10.616,43	97,745	6,613												
10.693,36	97,812	6,977												
10.770,85	97,875	7,277												
10.848,90	97,933	7,471												
10.927,52	97,985	7,625												
11.006,70	98,036	7,726												
11.086,46	98,078	7,699												
11.166,80	98,105	7,605												
11.247,72	98,127	7,471												
11.329,22	98,155	7,204												
11.411,32	98,186	6,712												
11.494,01	98,205	5,937												
11.577,30	98,187	4,835												
11.661,20	98,099	3,421												
11.745,70	97,91	1,825												
11.830,81	97,592	0,364												
11.916,54	97,141	-0,454												
12.002,90	96,591	-0,068												
12.089,87	96,028	1,878												
12.177,48	95,586	5,289												
12.265,72	95,39	9,53												
12.354,61	95,491	13,663												
12.444,13	95,829	16,785												
12.534,31	96,267	18,378												
12.625,14	96,677	18,524												
12.716,62	96,988	17,699												
12.808,77	97,181	16,389												
12.901,59	97,268	14,935												
12.995,08	97,275	13,539												
13.089,25	97,233	12,26												
13.184,10	97,16	11,062												
13.279,64	97,043	9,93												
13.375,87	96,868	8,964												
13.472,79	96,652	8,341												
13.570,42	96,429	8,132												
13.668,76	96,235	8,189												
13.767,81	96,072	8,266												
13.867,58	95,915	8,25												
13.968,07	95,748	8,243												
14.069,29	95,589	8,373												
14.171,24	95,461	8,505												
