Freq(Hz) SPL(dB) Phase(degrees)
873.004 93.591 17.312
879.330 93.643 18.477
885.702 93.709 19.684
892.120 93.785 20.877
898.585 93.874 22.060
905.097 93.981 23.196
911.655 94.100 24.285
918.262 94.226 25.353
924.916 94.366 26.387
931.618 94.515 27.287
938.369 94.658 28.110
945.169 94.810 28.943
952.018 94.981 29.738
958.917 95.164 30.415
965.865 95.352 30.945
972.864 95.538 31.375
979.914 95.720 31.735
987.015 95.896 32.018
994.167 96.065 32.217
1001.371 96.228 32.314
1008.628 96.376 32.349
1015.937 96.513 32.431
1023.299 96.658 32.581
1030.714 96.822 32.667
1038.183 96.993 32.597
1045.706 97.154 32.406
1053.283 97.308 32.162
1060.916 97.461 31.831
1068.604 97.605 31.386
1076.347 97.736 30.826
1084.147 97.851 30.163
1092.003 97.950 29.416
1099.916 98.028 28.605
1107.887 98.084 27.755
1115.915 98.115 26.878
1124.001 98.117 25.997
1132.146 98.093 25.158
1140.350 98.042 24.382
1148.614 97.965 23.689
1156.937 97.859 23.118
1165.321 97.726 22.715
1173.765 97.565 22.547
1182.271 97.383 22.702
1190.838 97.192 23.247
1199.467 97.012 24.230
1208.159 96.863 25.682
1216.914 96.781 27.576
1225.732 96.800 29.721
1234.614 96.933 31.790
1243.561 97.163 33.482
1252.572 97.455 34.577
1261.649 97.766 34.963
1270.791 98.048 34.699
1280.000 98.277 33.998
1289.275 98.443 33.043
1298.618 98.543 31.974
1308.028 98.577 30.960
1317.507 98.561 30.176
1327.054 98.524 29.695
1336.670 98.488 29.474
1346.357 98.465 29.398
1356.113 98.459 29.338
1365.940 98.458 29.214
1375.838 98.447 29.069
1385.808 98.427 28.967
1395.850 98.403 28.917
1405.965 98.373 28.911
1416.153 98.339 28.966
1426.415 98.301 29.090
1436.751 98.266 29.274
1447.163 98.234 29.506
1457.649 98.205 29.787
1468.212 98.181 30.105
1478.851 98.162 30.457
1489.568 98.149 30.835
1500.362 98.142 31.231
1511.234 98.138 31.638
1522.185 98.140 32.057
1533.215 98.147 32.472
1544.326 98.157 32.864
1555.517 98.166 33.246
1566.789 98.178 33.622
1578.142 98.191 33.979
1589.578 98.204 34.328
1601.097 98.215 34.674
1612.699 98.225 35.022
1624.385 98.231 35.383
1636.156 98.235 35.777
1648.012 98.243 36.212
1659.955 98.256 36.656
1671.983 98.272 37.098
1684.099 98.289 37.552
1696.303 98.310 38.015
1708.595 98.337 38.477
1720.976 98.372 38.914
1733.447 98.415 39.259
1746.008 98.450 39.414
1758.661 98.436 39.439
1771.405 98.362 39.814
1784.241 98.315 40.731
1797.170 98.340 41.697
1810.193 98.390 42.450
1823.311 98.440 43.079
1836.523 98.487 43.659
1849.831 98.530 44.214
1863.236 98.571 44.764
1876.738 98.612 45.315
1890.338 98.654 45.868
1904.036 98.694 46.429
1917.833 98.734 47.000
1931.730 98.775 47.584
1945.729 98.818 48.190
1959.828 98.863 48.812
1974.030 98.910 49.451
1988.334 98.958 50.108
2002.743 99.010 50.781
2017.255 99.066 51.462
2031.873 99.126 52.160
2046.597 99.190 52.879
2061.428 99.258 53.614
2076.365 99.332 54.360
2091.412 99.414 55.111
2106.567 99.501 55.856
2121.832 99.592 56.604
2137.208 99.691 57.336
2152.695 99.795 58.038
2168.294 99.906 58.718
2184.007 100.021 59.356
2199.833 100.137 59.957
2215.774 100.251 60.545
2231.830 100.364 61.134
2248.003 100.478 61.736
2264.293 100.594 62.350
2280.701 100.714 62.973
2297.228 100.836 63.594
2313.874 100.961 64.216
2330.642 101.090 64.851
2347.530 101.222 65.519
2364.542 101.359 66.237
2381.676 101.508 67.031
2398.935 101.678 67.911
2416.318 101.887 68.823
2433.828 102.145 69.631
2451.464 102.448 70.114
2469.229 102.764 70.037
2487.122 103.030 69.342
2505.145 103.191 68.322
2523.298 103.235 67.526
2541.583 103.209 67.435
2560.000 103.195 68.195
2578.551 103.267 69.578
2597.236 103.456 71.195
2616.057 103.765 72.678
2635.014 104.169 73.665
2654.108 104.607 73.906
2673.341 105.021 73.516
2692.713 105.405 72.748
2712.226 105.767 71.636
2731.879 106.090 70.133
2751.676 106.349 68.324
2771.615 106.534 66.408
2791.700 106.651 64.580
2811.930 106.720 62.951
2832.306 106.757 61.568
2852.830 106.780 60.419
2873.503 106.798 59.466
2894.325 106.818 58.663
2915.299 106.841 57.964
2936.424 106.868 57.343
2957.703 106.899 56.782
2979.136 106.935 56.265
3000.724 106.975 55.786
3022.468 107.020 55.336
3044.370 107.069 54.897
3066.431 107.121 54.446
3088.652 107.176 53.980
3111.033 107.232 53.491
3133.577 107.286 52.972
3156.284 107.337 52.417
3179.156 107.383 51.828
3202.193 107.423 51.206
3225.398 107.456 50.550
3248.771 107.483 49.850
3272.312 107.498 49.087
3296.025 107.496 48.258
3319.909 107.469 47.377
3343.967 107.411 46.471
3368.198 107.317 45.583
3392.606 107.183 44.758
3417.190 107.003 44.050
3441.952 106.775 43.533
3466.894 106.495 43.299
3492.017 106.163 43.461
3517.321 105.786 44.144
3542.809 105.365 45.445
3568.482 104.898 47.546
3594.341 104.395 50.837
3620.387 103.915 55.775
3646.622 103.596 62.539
3673.046 103.615 70.705
3699.663 104.089 79.215
3726.472 104.979 86.776
3753.476 106.120 92.394
3780.675 107.320 95.741
3808.071 108.437 97.125
3835.666 109.399 97.298
3863.461 110.221 97.189
3891.457 110.996 97.504
3919.656 111.853 98.353
3948.060 112.879 99.168
3976.669 114.045 99.084
4005.486 115.250 97.563
4034.511 116.396 94.594
4063.747 117.431 90.497
4093.194 118.341 85.679
4122.855 119.132 80.442
4152.731 119.808 74.968
4182.824 120.376 69.419
4213.134 120.835 63.851
4243.664 121.182 58.267
4274.416 121.437 52.612
4305.390 121.628 46.799
4336.588 121.768 40.681
4368.013 121.867 34.043
4399.666 121.940 26.796
4431.547 121.991 18.963
4463.660 122.016 10.621
4496.005 122.012 1.886
4528.585 121.979 -7.086
4561.401 121.913 -16.097
4594.455 121.800 -24.916
4627.749 121.610 -33.219
4661.283 121.297 -40.579
4695.061 120.809 -46.564
4729.083 120.125 -51.022
4763.352 119.290 -54.278
4797.869 118.408 -56.781
4832.637 117.578 -58.754
4867.656 116.839 -60.364
4902.929 116.185 -61.868
4938.458 115.590 -63.453
4974.244 115.020 -65.166
5010.289 114.449 -66.944
5046.596 113.870 -68.695
5083.166 113.288 -70.417
5120.000 112.700 -72.185
5157.102 112.085 -74.011
5194.472 111.423 -75.765
5232.113 110.706 -77.269
5270.027 109.946 -78.428
5308.216 109.157 -79.207
5346.682 108.345 -79.576
5385.426 107.513 -79.529
5424.451 106.664 -79.051
5463.759 105.794 -78.075
5503.352 104.905 -76.467
5543.231 104.008 -74.058
5583.399 103.131 -70.721
5623.859 102.315 -66.395
5664.612 101.607 -61.088
5705.660 101.068 -54.932
5747.006 100.765 -48.247
5788.651 100.741 -41.568
5830.598 100.988 -35.593
5872.849 101.430 -30.938
5915.406 101.956 -27.894
5958.271 102.462 -26.363
6001.447 102.885 -25.991
6044.937 103.208 -26.383
6088.740 103.428 -27.219
6132.862 103.549 -28.268
6177.303 103.585 -29.362
6222.066 103.554 -30.365
6267.154 103.475 -31.212
6312.568 103.361 -31.884
6358.312 103.223 -32.397
6404.387 103.068 -32.803
6450.796 102.892 -33.120
6497.541 102.697 -33.319
6544.625 102.490 -33.347
6592.050 102.278 -33.180
6639.818 102.071 -32.876
6687.934 101.873 -32.483
6736.397 101.679 -32.029
6785.211 101.488 -31.533
6834.380 101.299 -30.997
6883.905 101.111 -30.446
6933.789 100.916 -29.900
6984.034 100.705 -29.315
7034.643 100.476 -28.589
7085.619 100.241 -27.634
7136.964 100.018 -26.452
7188.681 99.811 -25.110
7240.773 99.619 -23.647
7293.243 99.447 -22.057
7346.093 99.294 -20.321
7399.326 99.164 -18.455
7452.944 99.069 -16.475
7506.951 99.015 -14.409
7561.350 99.011 -12.327
7616.143 99.062 -10.344
7671.332 99.157 -8.559
7726.922 99.283 -6.990
7782.915 99.436 -5.639
7839.312 99.614 -4.554
7896.120 99.815 -3.833
7953.338 100.020 -3.588
8010.971 100.195 -3.878
8069.022 100.306 -4.615
8127.493 100.332 -5.563
8186.389 100.270 -6.432
8245.711 100.133 -6.972
8305.462 99.949 -7.037
8365.647 99.738 -6.566
8426.268 99.523 -5.497
8487.328 99.343 -3.738
8548.831 99.260 -1.308
8610.779 99.342 1.496
8673.177 99.623 4.029
8736.026 100.048 5.609
8799.331 100.517 5.863
8863.095 100.938 4.893
8927.320 101.262 3.099
8992.011 101.479 0.885
9057.171 101.586 -1.461
9122.803 101.608 -3.768
9188.910 101.580 -5.981
9255.497 101.515 -8.215
9322.566 101.407 -10.627
9390.121 101.222 -13.244
9458.166 100.926 -15.879
9526.704 100.511 -18.215
9595.738 99.991 -19.959
9665.273 99.402 -20.932
9735.312 98.783 -21.068
9805.857 98.164 -20.435
9876.915 97.564 -19.153
9948.487 96.986 -17.258
10020.578 96.433 -14.632
10093.191 95.945 -11.148
10166.331 95.585 -6.903
10240.000 95.409 -2.267
10314.203 95.430 2.266
10388.944 95.613 6.218
10464.227 95.904 9.286
10540.055 96.240 11.375
10616.433 96.567 12.553
10693.363 96.837 13.002
10770.853 97.016 13.026
10848.902 97.103 12.993
10927.518 97.123 13.218
11006.703 97.124 13.871
11086.462 97.157 14.890
11166.799 97.250 16.000
11247.719 97.404 16.925
11329.224 97.605 17.498
11411.320 97.819 17.633
11494.012 98.017 17.331
11577.302 98.181 16.676
11661.195 98.305 15.771
11745.697 98.387 14.691
11830.812 98.423 13.471
11916.543 98.406 12.144
12002.895 98.336 10.783
12089.873 98.208 9.468
12177.480 98.021 8.294
12265.724 97.783 7.398
12354.606 97.513 6.868
