Freq(Hz) SPL(dB) Phase(degrees)
965.865 104.966 99.595
972.864 105.065 99.356
979.914 105.160 99.080
987.015 105.251 98.763
994.167 105.332 98.412
1,001.371 105.407 98.083
1,008.628 105.485 97.797
1,015.937 105.571 97.491
1,023.299 105.653 97.113
1,030.714 105.725 96.684
1,038.183 105.785 96.242
1,045.706 105.839 95.816
1,053.283 105.890 95.381
1,060.916 105.932 94.908
1,068.604 105.958 94.436
1,076.347 105.970 94.020
1,084.147 105.973 93.673
1,092.003 105.968 93.415
1,099.916 105.962 93.282
1,107.887 105.962 93.250
1,115.915 105.975 93.266
1,124.001 106.000 93.303
1,132.146 106.037 93.312
1,140.350 106.077 93.264
1,148.614 106.115 93.174
1,156.937 106.150 93.067
1,165.321 106.184 92.957
1,173.765 106.215 92.862
1,182.271 106.247 92.799
1,190.838 106.284 92.748
1,199.467 106.328 92.670
1,208.159 106.375 92.548
1,216.914 106.426 92.372
1,225.732 106.477 92.132
1,234.614 106.525 91.846
1,243.561 106.570 91.521
1,252.572 106.615 91.123
1,261.649 106.656 90.621
1,270.791 106.684 90.024
1,280.000 106.695 89.350
1,289.275 106.690 88.577
1,298.618 106.656 87.671
1,308.028 106.567 86.677
1,317.507 106.401 85.805
1,327.054 106.164 85.439
1,336.670 105.912 85.880
1,346.357 105.728 87.002
1,356.113 105.650 88.317
1,365.940 105.656 89.424
1,375.838 105.702 90.205
1,385.808 105.755 90.713
1,395.850 105.800 91.048
1,405.965 105.835 91.283
1,416.153 105.863 91.469
1,426.415 105.890 91.630
1,436.751 105.920 91.744
1,447.163 105.951 91.778
1,457.649 105.977 91.716
1,468.212 105.993 91.557
1,478.851 105.991 91.318
1,489.568 105.968 91.055
1,500.362 105.923 90.818
1,511.234 105.861 90.649
1,522.185 105.790 90.570
1,533.215 105.712 90.562
1,544.326 105.626 90.620
1,555.517 105.535 90.771
1,566.789 105.445 91.021
1,578.142 105.361 91.328
1,589.578 105.280 91.643
1,601.097 105.196 91.986
1,612.699 105.110 92.387
1,624.385 105.027 92.829
1,636.156 104.943 93.290
1,648.012 104.855 93.793
1,659.955 104.768 94.362
1,671.983 104.686 94.963
1,684.099 104.605 95.582
1,696.303 104.521 96.239
1,708.595 104.437 96.954
1,720.976 104.356 97.723
1,733.447 104.278 98.534
1,746.008 104.202 99.382
1,758.661 104.129 100.273
1,771.405 104.061 101.189
1,784.241 103.996 102.128
1,797.170 103.931 103.101
1,810.193 103.869 104.119
1,823.311 103.812 105.190
1,836.523 103.762 106.284
1,849.831 103.717 107.399
1,863.236 103.682 108.537
1,876.738 103.658 109.667
1,890.338 103.645 110.723
1,904.036 103.634 111.619
1,917.833 103.594 112.287
1,931.730 103.473 112.939
1,945.729 103.268 114.271
1,959.828 103.112 116.608
1,974.030 103.104 119.184
1,988.334 103.186 121.336
2,002.743 103.284 123.073
2,017.255 103.370 124.613
2,031.873 103.449 126.071
2,046.597 103.524 127.476
2,061.428 103.598 128.862
2,076.365 103.673 130.250
2,091.412 103.754 131.660
2,106.567 103.845 133.081
2,121.832 103.947 134.481
2,137.208 104.063 135.833
2,152.695 104.192 137.098
2,168.294 104.331 138.248
2,184.007 104.472 139.242
2,199.833 104.602 140.066
2,215.774 104.710 140.777
2,231.830 104.794 141.451
2,248.003 104.854 142.151
2,264.293 104.895 142.938
2,280.701 104.924 143.843
2,297.228 104.948 144.871
2,313.874 104.971 146.029
2,330.642 104.995 147.322
2,347.530 105.028 148.753
2,364.542 105.075 150.313
2,381.676 105.143 151.995
2,398.935 105.238 153.777
2,416.318 105.365 155.571
2,433.828 105.517 157.325
2,451.464 105.695 159.058
2,469.229 105.910 160.736
2,487.122 106.165 162.233
2,505.145 106.445 163.406
2,523.298 106.724 164.192
2,541.583 106.974 164.659
2,560.000 107.186 164.957
2,578.551 107.363 165.171
2,597.236 107.494 165.306
2,616.057 107.559 165.569
2,635.014 107.582 166.352
2,654.108 107.637 167.757
2,673.341 107.784 169.462
2,692.713 108.023 171.029
2,712.226 108.325 172.194
2,731.879 108.651 172.811
2,751.676 108.955 172.866
2,771.615 109.196 172.497
2,791.700 109.356 171.991
2,811.930 109.450 171.638
2,832.306 109.509 171.571
2,852.830 109.557 171.794
2,873.503 109.612 172.261
2,894.325 109.687 172.880
2,915.299 109.780 173.559
2,936.424 109.887 174.239
2,957.703 110.005 174.898
2,979.136 110.131 175.534
3,000.724 110.266 176.146
3,022.468 110.410 176.704
3,044.370 110.559 177.199
3,066.431 110.708 177.616
3,088.652 110.854 177.951
3,111.033 110.995 178.213
3,133.577 111.130 178.418
3,156.284 111.260 178.578
3,179.156 111.385 178.710
3,202.193 111.503 178.812
3,225.398 111.615 178.860
3,248.771 111.719 178.833
3,272.312 111.812 178.727
3,296.025 111.888 178.544
3,319.909 111.944 178.292
3,343.967 111.977 177.980
3,368.198 111.980 177.649
3,392.606 111.951 177.342
3,417.190 111.889 177.087
3,441.952 111.795 176.900
3,466.894 111.667 176.811
3,492.017 111.499 176.850
3,517.321 111.287 177.060
3,542.809 111.028 177.514
3,568.482 110.720 178.304
3,594.341 110.359 179.540
3,620.387 109.942 -178.618
3,646.622 109.473 -175.951
3,673.046 108.973 -172.219
3,699.663 108.477 -167.154
3,726.472 108.053 -160.507
3,753.476 107.810 -152.205
3,780.675 107.886 -142.525
3,808.071 108.400 -132.216
3,835.666 109.368 -122.347
3,863.461 110.699 -113.878
3,891.457 112.255 -107.378
3,919.656 113.921 -102.971
3,948.060 115.641 -100.534
3,976.669 117.369 -100.073
4,005.486 118.987 -101.941
4,034.511 120.314 -106.019
4,063.747 121.265 -111.299
4,093.194 121.863 -117.159
4,122.855 122.174 -123.833
4,152.731 122.306 -131.572
4,182.824 122.357 -140.025
4,213.134 122.368 -148.560
4,243.664 122.354 -156.669
4,274.416 122.328 -164.041
4,305.390 122.298 -170.523
4,336.588 122.266 -176.111
4,368.013 122.225 179.096
4,399.666 122.177 174.971
4,431.547 122.128 171.408
4,463.660 122.078 168.326
4,496.005 122.023 165.615
4,528.585 121.963 163.186
4,561.401 121.891 160.979
4,594.455 121.799 158.949
4,627.749 121.668 157.133
4,661.283 121.499 155.642
4,695.061 121.313 154.492
4,729.083 121.131 153.523
4,763.352 120.949 152.412
4,797.869 120.731 151.036
4,832.637 120.444 149.575
4,867.656 120.096 148.237
4,902.929 119.722 147.120
4,938.458 119.345 146.196
4,974.244 118.965 145.388
5,010.289 118.573 144.675
5,046.596 118.160 144.075
5,083.166 117.721 143.634
