*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
617,307	105,456	34,013																		
621,78	105,516	33,841																		
626,286	105,576	33,662																		
630,824	105,635	33,485																		
635,396	105,694	33,313																		
640	105,754	33,149																		
644,638	105,818	32,989																		
649,309	105,885	32,828																		
654,014	105,956	32,655																		
658,753	106,03	32,46																		
663,527	106,107	32,237																		
668,335	106,184	31,985																		
673,178	106,262	31,705																		
678,056	106,34	31,404																		
682,97	106,418	31,077																		
687,919	106,496	30,725																		
692,904	106,572	30,355																		
697,925	106,646	29,972																		
702,982	106,72	29,574																		
708,076	106,794	29,162																		
713,208	106,867	28,735																		
718,376	106,938	28,292																		
723,581	107,009	27,839																		
728,825	107,08	27,372																		
734,106	107,152	26,88																		
739,426	107,223	26,362																		
744,784	107,293	25,82																		
750,181	107,362	25,259																		
755,617	107,43	24,675																		
761,093	107,497	24,067																		
766,608	107,564	23,432																		
772,163	107,629	22,768																		
777,758	107,694	22,073																		
783,394	107,756	21,347																		
789,071	107,814	20,6																		
794,789	107,871	19,827																		
800,548	107,925	19,02																		
806,349	107,975	18,177																		
812,193	108,02	17,308																		
818,078	108,059	16,421																		
824,006	108,093	15,518																		
829,977	108,122	14,598																		
835,992	108,146	13,652																		
842,05	108,162	12,687																		
848,151	108,171	11,71																		
854,297	108,173	10,723																		
860,488	108,167	9,734																		
866,724	108,154	8,754																		
873,004	108,135	7,781																		
879,33	108,11	6,812																		
885,702	108,079	5,85																		
892,12	108,041	4,902																		
898,585	107,998	3,975																		
905,097	107,951	3,069																		
911,655	107,898	2,185																		
918,262	107,842	1,333																		
924,916	107,786	0,51																		
931,618	107,728	-0,301																		
938,369	107,667	-1,106																		
945,169	107,604	-1,9																		
952,018	107,537	-2,677																		
958,917	107,468	-3,44																		
965,865	107,397	-4,192																		
972,864	107,323	-4,931																		
979,914	107,247	-5,661																		
987,015	107,167	-6,39																		
994,167	107,083	-7,114																		
1.001,37	106,994	-7,823																		
1.008,63	106,901	-8,516																		
1.015,94	106,804	-9,191																		
1.023,30	106,703	-9,844																		
1.030,71	106,597	-10,468																		
1.038,18	106,488	-11,06																		
1.045,71	106,378	-11,62																		
1.053,28	106,266	-12,151																		
1.060,92	106,155	-12,657																		
1.068,60	106,042	-13,139																		
1.076,35	105,929	-13,603																		
1.084,15	105,816	-14,052																		
1.092,00	105,703	-14,482																		
1.099,92	105,59	-14,896																		
1.107,89	105,477	-15,296																		
1.115,92	105,362	-15,686																		
1.124,00	105,245	-16,066																		
1.132,15	105,127	-16,432																		
1.140,35	105,007	-16,782																		
1.148,61	104,886	-17,118																		
1.156,94	104,764	-17,448																		
1.165,32	104,637	-17,77																		
1.173,77	104,507	-18,067																		
1.182,27	104,374	-18,335																		
1.190,84	104,24	-18,584																		
1.199,47	104,104	-18,819																		
1.208,16	103,965	-19,033																		
1.216,91	103,824	-19,218																		
1.225,73	103,68	-19,373																		
1.234,61	103,536	-19,498																		
1.243,56	103,391	-19,598																		
1.252,57	103,247	-19,677																		
1.261,65	103,102	-19,729																		
1.270,79	102,955	-19,747																		
1.280,00	102,809	-19,738																		
1.289,28	102,664	-19,704																		
1.298,62	102,518	-19,644																		
1.308,03	102,372	-19,552																		
1.317,51	102,226	-19,423																		
1.327,05	102,083	-19,269																		
1.336,67	101,943	-19,098																		
1.346,36	101,804	-18,911																		
1.356,11	101,667	-18,717																		
1.365,94	101,531	-18,525																		
